Text,Label
that have all but ruined his career ,0
as refreshing ,1
"features nonsensical and laughable plotting , wooden performances ",0
"worthless , from its pseudo-rock-video opening to the idiocy of its last frames . ",0
"what madonna does here ca n't properly be called acting -- more accurately , it 's moving and ",0
fairly predictable psychological thriller ,0
's begun to split up so that it can do even more damage ,0
"'s fun , splashy and entertainingly nasty . ",1
funny stuff in this movie ,1
tired old ,0
's enough cool fun here to warm the hearts of animation enthusiasts of all ages ,1
chai 's structure and pacing are disconcertingly slack . ,0
with its own cuteness ,1
flagrantly ,0
"writer-director randall wallace has bitten off more than he or anyone else could chew , and ",0
"does n't understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ",0
"than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence ",1
dud ,0
portuguese master manoel de oliviera ,1
is that it is one that allows him to churn out one mediocre movie after another . ,0
own fear and paranoia ,0
sketchy but nevertheless ,0
arresting ,1
"thrills , too many flashbacks and a choppy ending make for a bad film ",0
the disjointed mess ,0
the arguments ,1
is strictly routine . ,0
the good fight ,1
another entertaining romp from robert rodriguez . ,1
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening , but it 's stupid ",0
what 's so striking about jolie 's performance ,1
character creations ,1
own preciousness ,1
nothing special ,0
"real women have curves '' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams . ",1
a life-affirming message ,1
some worthwhile themes ,1
` ick ' ,0
has a compelling story to tell . ,1
"have some idea of the glum , numb experience of watching o fantasma ",0
flakiness ,0
"also features terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters and a rather dull , unimaginative car chase . ",0
so freely ,1
watching the proverbial paint dry ,0
love to come from an american director in years ,1
the line between sappy and sanguine ,1
", the movie is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about . ",0
much about the film is loopy and ludicrous ... that it could have been a hoot in a bad-movie way if the laborious pacing and endless exposition had been tightened . ,0
"should never , ever , ",0
's hard to shake the feeling that it was intended to be a different kind of film ,0
the insightful writer/director responsible for this illuminating comedy ,1
to skip it ,0
disintegrating bloodsucker computer effects and ,0
is so charmless and vacant ,0
its lavish formalism ,1
supremely good ,1
does n't come close to the level of intelligence and visual splendor that can be seen in other films ,0
"it cooks conduct in a low , smoky and inviting sizzle . ",1
"no way original , or even all that memorable , but as downtown saturday matinee brain candy ",0
", reverent , and subtly different ",1
this strangely schizo cartoon ,0
the rest are padding unashamedly appropriated from the teen-exploitation playbook ,0
... it feels like a glossy rehash . ,0
of women torn apart by a legacy of abuse ,0
downfall ,0
given a part worthy of her considerable talents ,1
its initial promise ,1
"first , for a movie that tries to be smart , it 's kinda dumb . ",0
is deadly ,0
one of the most repellent things to pop up in a cinematic year already littered with celluloid garbage ,0
suited ,1
middle-of-the-road blandness ,0
so-called ` comedy ' ,0
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil . ,0
exaggerated action ,0
horrendously ,0
"most of the information has already appeared in one forum or another and , no matter how broomfield dresses it up , it tends to speculation , conspiracy theories or , at best , circumstantial evidence . ",0
read my lips with such provocative material ,1
a winning piece of work ,1
uninspired philosophical ,0
that with really poor comedic writing ,0
lethargically ,0
cartoonish clichés and sneering humor ,0
emotional comfort ,1
"( jeff 's ) gorgeous , fluid compositions , ",1
loathsome ,0
the grease ,0
a beer with but they 're simply not funny performers ,0
a $ 40 million version of a game ,0
not-so-funny ,0
some truly excellent sequences ,1
the week blown up for the big screen ,0
these characters love each other ,1
"strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder ",0
"if the real-life story is genuinely inspirational , the movie stirs us as well . ",1
as boring and as obvious ,0
no cliche escapes the perfervid treatment of gang warfare called ces wild . ,0
a british cast ,1
"it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism ",0
wrong with performances here ,0
"the movie is silly beyond comprehension , and ",0
's probably worth catching solely on its visual merits ,1
gut-clutching piece ,1
through ill-conceived action pieces ,0
"as predictable as the outcome of a globetrotters-generals game , juwanna mann is even more ludicrous than you 'd expect from the guy-in-a-dress genre , and ",0
has all the earmarks of french cinema at its best ,1
"rich , bittersweet israeli documentary ",1
you love reading and/or poetry ,1
"you could just rent those movies instead , let alone seek out a respectable new one ",0
not constant bloodshed ,1
australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation . ,1
intriguing bit ,1
those terrific documentaries ,1
"a thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause ",1
's pretty stupid ,0
was utterly charming ,1
old garbage ,0
lulled into a coma ,0
'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture ,1
the movies you 'd want to watch if you only had a week to live ,1
the early and middle passages are surprising in how much they engage and even touch us . ,1
"not a classic , but a movie the kids will want to see over and over again . ",1
"flat , misguided comedy ",0
"schaeffer 's film never settles into the light-footed enchantment the material needs , ",0
"laughs in this simple , sweet and romantic comedy ",1
overstated ,0
happens when something goes bump in the night and nobody cares ? ,0
"obvious , obnoxious and didactic burlesque . ",0
a sweet and modest and ,1
"collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension ",0
has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references ,0
the surprise ending ,1
"with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard . ",0
has never been filmed more irresistibly than in ` baran ,1
"actually finding the characters in slackers or their antics amusing , let alone funny ",0
bitter and less mature ,0
fills me with revulsion ,0
offering fine acting moments ,1
feeling this movie ,1
wo n't like looking at it ,0
that 's actually sort of amazing ,1
"that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen ",0
black indomitability ,0
rather unique approach ,1
", it runs for 170 ",0
centers ,1
torture ,0
to see it twice ,1
may scream low budget ,0
the characters are so generic and ,0
"with this masterful , flawless film , ( wang ) emerges in the front ranks of china 's now numerous , world-renowned filmmakers . ",1
is worth the price of admission . ,1
say it was a guilty pleasure ,1
"davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air ",1
"is it a charming , funny and beautifully crafted import ",1
"is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in . ' ",0
truly annoying pitch ,0
the german film industry can not make a delightful comedy centering on food ,0
nonjudgmental ,1
oddly compelling ,1
", it misses a major opportunity to be truly revelatory about his psyche . ",0
how it washed out despite all of that ,0
earnest ,1
it seems so real because it does not attempt to filter out the complexity ,1
you 'll wait in vain for a movie to happen . ,0
does n't come much lower . ,0
", but with restraint ",0
wise ,1
"is an intelligent , realistic portrayal of testing boundaries . ",1
an intense indoor drama ,1
are for children and dog lovers ,1
strenuously unfunny showtime deserves the hook . ,0
"tells this very compelling tale with little fuss or noise , ",1
best comedy concert movie ,1
"if you ever wanted to be an astronaut , this is the ultimate movie experience - it 's informative and breathtakingly spectacular . ",1
which is often preachy and poorly acted ,0
conspicuous ,0
stock plot ,0
there 's no art here ,0
"a quaint , romanticized rendering ",1
"a completely spooky piece of business that gets under your skin and , some plot blips aside ",1
"that real natural , even-flowing tone ",1
the only pain ,0
"is moody , oozing , chilling and heart-warming all at once ... ",1
entrapment in the maze of modern life ,1
"will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , ",1
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type ,1
emerges as a surprisingly anemic disappointment ,0
super troopers suffers because it does n't have enough vices to merit its 103-minute length . ,0
just slopped ` em together here ,0
"let 's see , a haunted house , a haunted ship , what 's next ... ghost blimp ",0
"nice , harmless date film ",1
"made by a proper , middle-aged woman . ",1
fears ,0
gentle jesus ,1
that you wo n't care ,0
russian cultural identity and a stunning technical achievement ,1
a listless climb ,0
for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon ,1
the story plays out slowly ,0
"placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , daniel auteuil , ",1
"plenty of warmth to go around , with music and laughter and the love of family . ",1
a potent chemistry ,1
wears you down like a dinner guest showing off his doctorate ,0
distracts ,0
refuses ,0
"of the wise , wizened visitor from a faraway planet ",1
the idea of exploiting molestation for laughs ,0
a good job ,1
is hampered by its predictable plot and paper-thin supporting characters ,0
to the background -- a welcome step ,1
affair ,0
delicately crafted film ,1
"which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming ",0
itself -- as well its delightful cast -- is so breezy ,1
"own breezy , distracted rhythms ",1
most moronic ,0
"their super-powers , their super-simple animation and their super-dooper-adorability intact ",1
so primitive in technique ,0
its story is only surface deep ,0
alienate the mainstream audience while ringing cliched to hardened indie-heads ,0
"candid , archly funny and deeply authentic ",1
well-balanced fashion ,1
earthy ,1
do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance ,0
with soul ,1
fosters moments of spontaneous intimacy ,1
"though impostor deviously adopts the guise of a modern motion picture , it too is a bomb . ",0
"generates little narrative momentum , ",0
well-put-together ,1
"constantly touching , surprisingly funny ",1
"never rises above easy , cynical potshots at morally bankrupt characters ... ",0
ah-nuld 's action hero days might be over . ,0
such a wallop of you-are-there immediacy ,1
a porno flick ,0
bang-up ,1
"is a waste of de niro , mcdormand and the other good actors in the cast ",0
the best case ,1
in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j. ,0
blown ,0
apparently hoping that the audience will not notice the glaring triteness of the plot device ,0
"if that does n't clue you in that something 's horribly wrong , nothing will . ",0
"scenery , vibe and all ",1
"bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming that 's enough to sustain laughs ",0
entirely witless ,0
affected child acting to the dullest irish pub scenes ever filmed ,0
"formula -- which is a waste of de niro , mcdormand and the other good actors in the cast ",0
has nothing ,0
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,0
esther kahn is unusual but unfortunately also irritating . ,0
everyone except the characters in it can see coming a mile away ,0
"not only a pianist , but a good human being ",1
a fresh idea ,1
trailer-trash style ,0
"even when it drags , we are forced to reflect that its visual imagination is breathtaking ",1
an uneasy marriage of louis begley 's source novel ( about schmidt ) ,0
and crudely literal ,0
"it all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment ",1
everybody else is in the background and it just seems manufactured to me and artificial ,0
do better elsewhere ,0
a director beginning to resemble someone 's crazy french grandfather ,0
"a feature that concentrates on people , a project in which the script and characters hold sway ",1
"as gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch ",1
using a plot that could have come from an animated-movie screenwriting textbook ,0
with vibrance and warmth ,1
's spiffing up leftovers that are n't so substantial or fresh ,0
lunacy ,0
liked it much better ,1
an interesting exercise by talented writer/director anderson ,1
rock-solid ,1
a sequel you can refuse ,0
resentment ,0
and satirical touches ,1
would recommend big bad love only to winger fans who have missed her since 1995 's forget paris ,0
screams ,0
strained caper movies that 's hardly any fun to watch ,0
it 's hard to take her spiritual quest at all seriously ,0
a pretty good execution of a story that 's a lot richer than the ones hollywood action screenwriters usually come up with on their own ,1
"quiet , adult and just about more stately than any contemporary movie this year ... a true study , a film with a questioning heart and mind that is n't afraid to admit it does n't have all the answers . ",1
surprisingly similar ,0
compelling ,1
's a very sincere work ,1
to believe in your dreams ,1
nonsensical and ,0
", but it at least calls attention to a problem hollywood too long has ignored . ",1
reveals how bad an actress she is ,0
interesting work ,1
less-than-thrilling ,0
with some real shocks in store for unwary viewers . ,1
sweet and gentle ,1
plays like a tired tyco ad . ,0
becomes a bit of a mishmash ,0
"that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 ",0
"an extraordinary poignancy , and the story ",1
and church meetings ,1
on a traditional indian wedding in contemporary new delhi ,1
is sabotaged by ticking time bombs and other hollywood-action cliches ,0
interesting characters or even a halfway intriguing plot ,1
staggers ,0
it could have been something special ,0
as artificial and soulless ,0
irrational ,0
"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us `` the skulls '' ",1
might imagine that most every aggrieved father cliché has been unturned ,0
ignite ,1
flaccid ,0
attempt to bring cohesion to pamela 's emotional roller coaster life ,0
with the unsettling spookiness of the supernatural ,1
lost its edge ,0
"be funny in a way that 's too loud , too goofy and too short of an attention span ",0
"by its modest , straight-ahead standards , undisputed scores a direct hit . ",1
el crimen del padre amaro would likely be most effective if used as a tool to rally anti-catholic protestors . ,0
lacks in eye-popping visuals ,0
works as pretty contagious fun ,1
vulgarities ,0
spirals downward ,0
"long , dull procession ",0
timeout ,0
"good b movies ( the mask , the blob ) ",1
even though the film does n't manage to hit all of its marks ,0
", not-nearly - as-nasty - as-it ",0
goes on and on and on and on ,0
reveals a real human soul buried beneath a spellbinding serpent 's smirk ,1
just a collection of this and that -- whatever fills time -- with no unified whole ,0
"lots of boring talking heads , etc . ",0
of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence ,0
"the , yes , snail-like pacing and lack of thematic resonance make the film more silly than scary , like some sort of martha stewart decorating program run amok . ",0
's thanks to huston 's revelatory performance . ,1
your pooper-scoopers ,0
convincing intelligence ,1
nicholson 's understated performance is wonderful . ,1
"a chilly , remote , emotionally distant piece ... so dull that its tagline should be : ` ",0
's denial of sincere grief and mourning in favor of bogus spiritualism ,0
", did the screenwriters just do a cut-and-paste of every bad action-movie line in history ? ",0
foster and whitaker are especially fine . ,1
unique residences ,1
feels like a cold old man going through the motions . ,0
of true inspiration ,1
"'s difficult to feel anything much while watching this movie , beyond mild disturbance or detached pleasure at the acting . ",0
", i hated myself in the morning . ",0
the film 's cheeky charm ,1
bleak ,0
vastly entertaining ,1
"a weird little movie that 's amusing enough while you watch it , offering fine acting moments and pungent insights into modern l.a. 's show-biz and media ",1
how important our special talents can be when put in service of of others ,1
"knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record . ",1
"each scene drags , underscoring the obvious ",0
"more like a mere excuse for the wan , thinly sketched story ",0
"richard pryor mined his personal horrors and came up with a treasure chest of material , but lawrence gives us mostly fool 's gold . ",0
there is a real subject here ,1
both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace ,1
never quite makes the grade as tawdry trash . ,0
before it collapses into exactly the kind of buddy cop comedy ,0
sharp movie ,1
"no charm , no laughs , no fun , no reason to watch ",0
"the historical , philosophical , and ",1
"the movie does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the cotswolds . ",1
of junk ,0
most intelligent viewers ,1
the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer ,1
endure instead of ,0
it does not attempt to filter out the complexity ,1
loosely connected characters and ,0
knucklehead ,0
"philippe , who makes oliver far more interesting than the character 's lines would suggest ",1
"brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons ",1
insufferably ,0
the waste of a good cast ,0
"whatever the movie 's sentimental , hypocritical lessons about sexism ",0
"a film really has to be exceptional to justify a three hour running time , and ",1
"xerox of other , better crime movies ",1
"rhapsodize cynicism , with repetition and languorous slo-mo sequences , ",0
creates in maelstrom a world where the bizarre is credible and the real turns magical . ,1
does n't work because there is no foundation for it ,0
assume that the jury who bestowed star hoffman 's brother gordy with the waldo salt screenwriting award at 2002 's sundance festival were honoring an attempt to do something different over actually pulling it off ,0
all the complexity and ,1
"feels contrived , as if the filmmakers were worried the story would n't work without all those gimmicks . ",0
rough ,0
ungainly ,0
then knock yourself out and enjoy the big screen postcard that is a self-glorified martin lawrence lovefest . ,0
takes every potential laugh and ,1
reasonably creative eighth-grader ,0
narc is all menace and atmosphere . ,0
i could not stand them ,0
romp of a film . ,1
sexy razzle-dazzle ,1
talented thesps ,1
a glimpse of the solomonic decision facing jewish parents in those turbulent times ,1
seem like the proper cup of tea ,1
a fascinating character 's ,1
by sending the audience straight to hell ,0
"unexpected ways , touching ",1
its relaxed ,1
realized the harsh reality of my situation ,0
about the worst thing chan has done in the united states ,0
"a real winner -- smart , funny , subtle , and resonant ",1
its appeal will probably limited to lds church members and undemanding armchair tourists . ,0
clockstoppers if you have nothing better to do with 94 minutes . ,0
"the kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else ",0
overstimulated ,0
does n't have much to say beyond the news ,0
expert fighters ,1
a sure hand ,1
"an airless , prepackaged julia roberts wannabe ",0
of the best and most exciting movies ,1
"entertaining , if ultimately minor , thriller ",1
disingenuous ,0
the excitement ,1
the cliché-laden screenplay ,0
an authentic feel ,1
's both charming and well ,1
rarely work in movies now ,0
seldom hammy ,1
sit back and enjoy a couple of great actors hamming it up ,1
a dearth ,1
is clearly not zhang 's forte ,0
high-wattage brainpower ,1
too narrow to attract crossover viewers ,0
"young , black manhood that is funny , touching , smart and complicated ",1
messiness ,0
movie fun ,1
simpering soundtrack ,0
has already reached its expiration date ,0
oscar caliber cast does n't live up to material ,0
"love , memory , history and ",1
thoughtful and ,1
starts out strongly ,1
as crisp and to the point ,1
savvy street activism ,1
nosedive ,0
even more indistinct ,0
have saved this film a world of hurt ,1
"kiddie entertainment , sophisticated wit and symbolic graphic design ",1
how do you make a movie with depth about a man who lacked any ? ,0
"an eloquent , reflective and beautifully acted meditation on both the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake . ",1
"should be doing a lot of things , but does n't . ",0
muddled and ,0
not only is entry number twenty the worst of the brosnan bunch ,0
"far from heaven is a dazzling conceptual feat , ",1
would reach for a barf bag ,0
"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ",0
makes me say the obvious : abandon all hope of a good movie ye who enter here . ,0
have an intermittently good time ,1
"the four feathers is definitely horse feathers , but ",0
the triumph ,1
"i liked it because it was so endlessly , grotesquely , inventive . ",1
"high crimes is a cinematic misdemeanor , a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd . ",0
may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie . ,0
hefty thematic material ,1
like a surgeon mends a broken heart ; very meticulously but without any passion ,0
grab you ,1
ca n't get no satisfaction without the latter ,0
of wit or charm ,1
", almost generic ",0
"wendigo wants to be a monster movie for the art-house crowd , but it falls into the trap of pretention almost every time ",0
sloughs one 's way through the mire of this alleged psychological thriller in search of purpose or even a plot ,0
"though it begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy ",0
", convincing ",1
"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question ` why ? ",0
other than money why this distinguished actor would stoop so low ,0
the emperor 's club any time ,1
so intimate and ,1
"a fascinating , compelling story ",1
`` shock humor '' will wear thin on all ,0
"is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in ",0
a black hole of dullness ,0
the fantastic ,1
"dip into your wallet , swipe 90 minutes of your time , and ",1
touching as the son 's room ,1
music fans ,1
success ,1
mumbles his way through the movie ,0
absurdly simplistic picture ,0
the self-serious equilibrium ,0
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little . ,0
sensuous and spirited tale ,1
"off with an inauspicious premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper . ",0
turns the marquis de sade into a dullard ,0
of dishonesty ,0
"when the movie mixes the cornpone and the cosa nostra , it finds a nice rhythm . ",1
sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer ,0
worth your time ,1
cliche pileup ,0
it 's hardly watchable ,0
is a discreet moan of despair about entrapment in the maze of modern life . ,0
rapt spell ,1
"a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 ",0
"crisp framing , edgy camera work , and ",1
like `` horrible '' and `` terrible ,0
exceedingly ,1
"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted ",0
possess the lack-of-attention span ,0
"while it is welcome to see a chinese film depict a homosexual relationship in a mature and frank fashion , lan yu never catches dramatic fire . ",0
of sensual delights and simmering violence ,1
would likely be most effective if used as a tool to rally anti-catholic protestors . ,0
"skip this dreck , rent animal house and go back to the source . ",0
gives none to the audience ,0
make paid in full worth seeing ,1
an absurdly simplistic picture ,0
hughes comedy ,1
an american tragedy ,0
punchier ,1
carrying off a spot-on scottish burr ,1
that slather clearasil over the blemishes of youth ,0
intelligent manner ,1
be like to be smack in the middle of a war zone armed with nothing but a camera ,1
take on loss and loneliness . ,0
the comedy death to smoochy is a rancorous curiosity : a movie without an apparent audience . ,0
"too hard to be funny in a way that 's too loud , too goofy and too short of an attention span ",0
the film 's thoroughly recycled plot and tiresome jokes ... drag the movie down . ,0
take as long as you 've paid a matinee price ,0
"seems as funny as it did in analyze this , not even joe viterelli as de niro 's right-hand goombah . ",1
a tasty performance ,1
creative action ,1
fresh air now and then ,1
"daily struggles and simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails . ",1
cannon 's confidence and ,1
"a mess as its director 's diabolical debut , mad cows ",0
of an impression ,1
an overly sillified plot and stop-and-start pacing ,0
"piccoli 's performance is amazing , yes ",1
rashomon-for-dipsticks ,0
the komediant is a tale worth catching . ,1
with fewer gags to break the tedium ,0
"for a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary ",0
"a heartbreakingly thoughtful minor classic , the work of a genuine and singular artist ",1
most savagely hilarious ,1
that is apparently as invulnerable as its trademark villain ,0
the be-all-end-all of the modern-office anomie films ,1
what the english call ` too clever by half ,0
spice ,1
"allegiance to chekhov , which director michael cacoyannis displays with somber earnestness in the new adaptation of the cherry orchard , is a particularly vexing handicap . ",0
some of this laughable dialogue ,0
"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story ",1
"littered with zero-dimensional , unlikable characters and hackneyed , threadbare comic setups . ",0
a ' list cast ,1
"unleashes his trademark misogyny -- er , comedy -- ",0
been a lighthearted comedy ,1
mel ,0
of the worst titles in recent cinematic history ,0
wannabe-hip crime comedy ,0
disintegrating bloodsucker computer effects ,0
know a star ,1
"this film 's heart is even more embracing than monty , if only because it accepts nasty behavior and severe flaws as part of the human condition . ",1
to marry science fiction with film noir and action flicks with philosophical inquiry ,1
clueless does south fork ,0
"an ambitious movie that , like shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that do n't come off . ",1
welcomed tens of thousands of german jewish refugees ,1
incoherent ,0
inspires more than an interested detachment ,1
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ",0
"a film that 's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated classics ",1
deeply touching melodrama ,1
will have you talking 'til the end of the year ,1
fluid ,1
is as blasphemous and nonsensical as a luis buñuel film ,0
"'s fun , wispy , wise and surprisingly inoffensive for a film about a teen in love with his stepmom ",1
"is a fragmented film , ",0
may also be the first narrative film to be truly informed by the wireless ,1
"this gentle , mesmerizing portrait of a man coming to terms with time ",1
"of longing , lasting traces of charlotte 's web of desire and desperation ",1
"laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , ",1
exquisite trappings ,1
sticky and unsatisfied ,0
"amy and matthew have a bit of a phony relationship , but the film works in spite of it . ",1
"romantic comedy and dogme 95 filmmaking may seem odd bedfellows , but they turn out to be delightfully compatible here ",1
is n't one moment in the film that surprises or delights . ,0
it 's the sweet cinderella story that `` pretty woman '' wanted to be . ,1
"really long , slow and dreary time ",0
in the worst elements of all of them ,0
"aging , suffering ",0
some very good comedic songs ,1
dubious product ,0
"where janice beard falters in its recycled aspects , implausibility , and sags in pace ",0
"newcastle , the first half of gangster no. 1 drips with style and , at times , ",1
loses its fire ,0
"lovely and amazing is holofcener 's deep , uncompromising curtsy to women she knows , and very likely is . ",1
quirky movie ,1
a compelling and horrifying story ,1
saves it ... and makes it ,1
they shovel into their mental gullets to simulate sustenance ,0
result in a movie that works against itself ,0
"yes , soar . ",1
where its recent predecessor miserably ,0
a-list players ,1
a jaunt down memory lane for teens ,1
"treats his women -- as dumb , credulous , unassuming , subordinate subjects ",0
erotic ,1
more of the `` queen '' and less of the `` damned ,0
purposeless ,0
"stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights . ",1
corny conventions ,0
the film does n't really care about the thousands of americans who die hideously ,0
sending the audience ,1
of its lurid fiction ,1
"trouble every day is a success in some sense , ",1
sexy intrigue ,1
an incredibly layered and stylistic film ,1
"faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance . ",0
"a solid , anguished performance that eclipses nearly everything else she 's ever done ",1
"it also makes her appear foolish and shallow rather than , as was more likely , ",0
"know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or ",0
to be a monster movie for the art-house crowd ,1
see a better thriller ,0
dull effects ,0
is about as humorous as watching your favorite pet get buried alive ,0
does little here but point at things that explode into flame ,0
